student_id,name,gender,age,residency_status,first_gen,major,cumulative_gpa,credits_completed
156,Jose Moon,M,21,domestic,0,Economics,2.37,7
157,Jill Martin,F,17,domestic,0,Mechanical Eng,3.07,43
158,Brittany Ferguson,F,20,domestic,1,Psychology,3.1,71
159,Cameron Whitney,M,24,international,0,Chemistry,3.21,65
160,Krystal Sanchez,F,24,domestic,0,Accounting,2.2,49
161,Michael Davis,M,22,domestic,0,Psychology,2.99,0
162,Emily Henson,F,25,domestic,0,Marketing,2.82,24
163,Mary Padilla,F,30,domestic,0,Economics,3.55,78
164,Edward Kline,F,27,domestic,0,Political Science,2.42,0
165,Kelly Martinez,M,20,international,0,Biology,2.02,46
166,Darrell Nelson,F,17,domestic,1,Chemistry,1.81,28
167,Ann Vega,M,20,domestic,0,Economics,2.63,65
168,Willie Vargas,M,18,domestic,0,Accounting,2.54,0
169,Kerri Ruiz,M,23,domestic,0,English,2.62,36
170,Jason Martinez,F,17,domestic,1,Mechanical Eng,2.62,50
171,Tami Davis,F,21,domestic,0,Accounting,3.64,34
172,Ashley Maddox,M,24,domestic,0,Computer Science,2.71,63
173,David Smith,F,21,domestic,0,Information Systems,3.48,0
174,Anthony Morrison,M,18,domestic,0,Accounting,3.03,11
175,Michael Burgess,F,26,domestic,0,Political Science,2.25,35
176,Larry Henry,M,17,domestic,1,Computer Science,2.81,55
177,Melanie Reed,F,20,domestic,1,Marketing,3.73,60
178,Crystal Smith,M,21,domestic,0,Business Analytics,3.41,50
179,Kathryn Lewis,F,22,domestic,0,Mathematics,3.52,17
180,Jacqueline Jenkins,M,22,domestic,1,Finance,3.1,27
181,Scott Jordan,M,24,domestic,0,Electrical Eng,2.51,78
182,Crystal Martinez,M,21,domestic,1,Mathematics,3.78,106
183,Jesus Baker,F,20,domestic,0,Business Analytics,3.14,63
184,James Kelley,F,20,domestic,1,English,3.36,55
185,Curtis Andrews,M,19,domestic,1,Psychology,2.87,10
186,Michael Cooper,F,24,domestic,1,Nursing,2.18,51
187,Richard Adams,F,19,domestic,0,Chemistry,3.04,0
188,Alexis Nicholson,F,24,domestic,0,English,3.82,84
189,Shannon Stanley,F,22,domestic,1,English,3.28,62
190,Randall Short,M,20,domestic,0,Political Science,3.13,43
191,Ruth Bradley,M,24,domestic,0,Information Systems,2.28,10
192,Gloria Martin,F,19,domestic,1,Finance,3.71,50
193,Matthew Haas,F,24,domestic,1,Accounting,3.61,0
194,Judith Miller,F,22,domestic,1,Nursing,1.73,36
195,Carrie Warren,M,19,domestic,0,Political Science,3.36,57
196,Kimberly Lopez,M,23,international,1,Chemistry,2.65,24
197,Christopher Bradshaw,F,23,domestic,1,Economics,2.98,44
198,Scott Campbell,F,26,domestic,0,Mathematics,2.31,115
199,Tyler Jefferson,F,25,domestic,0,English,2.87,0
200,Peter Bray,F,23,domestic,0,Business Analytics,2.14,22
201,Katrina Conley,F,18,domestic,0,Mathematics,2.32,37
202,Tracy Rivera,M,30,domestic,1,Psychology,3.11,29
203,Luke Parrish,M,17,domestic,0,Nursing,2.35,59
204,John Chavez,F,25,domestic,1,Chemistry,3.06,61
205,Keith Cunningham,F,23,domestic,1,Accounting,2.87,46
206,Ashley Morgan,M,17,domestic,0,Nursing,4.0,49
207,Donald Freeman,M,21,domestic,1,Electrical Eng,2.41,0
208,Matthew Hudson,F,21,domestic,0,Sociology,2.6,59
209,Kelly Hill,M,26,domestic,1,Business Analytics,2.37,51
210,Scott Cook,M,19,domestic,0,Chemistry,3.66,24
211,Anthony Franco,F,21,international,1,Nursing,2.86,94
212,Amber Smith,F,17,domestic,0,Finance,2.7,43
213,Malik Freeman,F,28,domestic,0,Political Science,3.26,52
214,Bryan Hunt,M,18,domestic,1,Psychology,2.28,44
215,Brandon Roach,F,23,international,0,English,1.99,0
216,Emma Graham,M,21,domestic,0,Computer Science,2.97,15
217,Michael Henry,M,21,domestic,0,English,2.9,37
218,Kristina Gutierrez,F,24,domestic,1,Information Systems,2.36,74
219,Vincent Ware,F,27,domestic,0,Information Systems,3.01,31
220,Timothy Buckley,F,22,domestic,0,Psychology,3.91,51
221,Derek Robinson,F,24,domestic,0,Mechanical Eng,3.07,59
222,Larry Howard,F,23,domestic,0,Marketing,1.61,21
223,Courtney King,M,25,international,0,Biology,3.65,17
224,David Hill,M,20,domestic,0,Accounting,3.99,25
225,Scott Jackson,M,25,domestic,0,Political Science,3.12,23
226,Heather Mcdowell,M,25,domestic,0,Psychology,2.9,12
227,Teresa Jones,Other,25,domestic,0,Biology,1.87,71
228,Amber Deleon,M,19,domestic,1,Mechanical Eng,2.28,63
229,Eric Bennett,F,21,domestic,0,Mechanical Eng,2.62,13
230,Andrea Stewart,F,22,domestic,0,Mechanical Eng,2.36,50
231,Sharon Moore,F,17,domestic,0,Mathematics,2.49,35
232,Scott Beard,F,27,domestic,0,Economics,2.87,41
233,Francis Smith,F,21,domestic,1,Chemistry,2.39,46
234,Cheryl Howard,F,22,domestic,0,English,3.71,1
235,Larry Brown,M,19,domestic,0,Finance,2.84,0
236,Shawn Alvarez,F,17,domestic,0,Business Analytics,3.1,46
237,Jason Leon,M,19,domestic,0,English,3.11,33
238,Christine Nelson,M,22,domestic,0,Sociology,3.03,38
239,Amy Martin,F,24,domestic,0,Mathematics,2.83,26
240,Tanya Love,M,22,domestic,0,Biology,3.4,45
241,Amy Hernandez,F,23,domestic,1,Finance,3.53,0
242,Justin Bailey,F,20,domestic,0,Information Systems,1.56,46
243,William Harris,F,23,domestic,0,Economics,1.94,0
244,Thomas Walker,M,27,domestic,1,Marketing,2.47,23
245,Candace Anderson,M,24,domestic,1,Nursing,2.13,30
246,Ashley Ewing,F,24,international,0,Accounting,2.36,0
247,Paula Gordon,M,23,domestic,1,Finance,2.53,83
248,Lauren Williamson,Other,17,domestic,1,Biology,2.65,42
249,Lisa Brown,Other,18,international,0,Information Systems,1.91,22
250,Larry Scott,F,23,domestic,0,Information Systems,2.55,101
251,Linda Saunders,M,21,domestic,0,English,3.65,52
252,Joann Olsen,M,23,domestic,1,Electrical Eng,2.65,55
253,Madison Baker,F,27,domestic,0,Nursing,3.16,38
254,Richard Nguyen,M,24,domestic,0,Accounting,2.76,28
255,Carlos Jackson,M,26,international,1,Chemistry,2.87,51
256,Michael Davis,F,22,domestic,0,Electrical Eng,2.73,0
257,Michelle Anderson,F,19,domestic,0,Political Science,3.25,0
258,Andrew West,F,21,domestic,0,Business Analytics,2.31,0
259,Amber Miller,F,19,domestic,0,Finance,2.9,0
260,Matthew Delgado,M,27,domestic,1,Political Science,2.45,58
261,Larry Webb,F,24,domestic,0,Business Analytics,3.2,21
262,Dale Branch,Other,23,domestic,1,Nursing,2.14,79
263,Taylor Huff,M,26,domestic,0,Psychology,3.19,36
264,Kathy Davis,F,17,international,0,Marketing,2.93,16
265,Samantha Miller,F,24,domestic,1,Mathematics,2.04,38
266,Anna White,F,17,domestic,0,Mechanical Eng,3.85,73
267,Kevin Kirk,F,21,domestic,0,Accounting,3.13,33
268,Rhonda Parker,F,20,domestic,0,Computer Science,2.15,77
269,Cheyenne Johnson,M,24,domestic,1,Sociology,2.89,73
270,Jason Cox,M,22,domestic,0,Business Analytics,1.82,23
271,Sarah Thomas,F,26,domestic,0,Political Science,1.77,25
272,Robert Kelly,F,19,domestic,0,Economics,3.52,24
273,Michael Hodges,F,24,international,0,Economics,2.08,4
274,Christopher Thompson,F,22,domestic,1,Business Analytics,3.27,0
275,Ashley Jimenez,F,17,international,0,Biology,3.5,25
276,George Taylor,F,18,domestic,0,Accounting,2.21,0
277,Spencer Gray,F,21,domestic,0,Sociology,4.0,6
278,Christopher Johnson,F,25,domestic,0,Chemistry,2.86,54
279,Jeffrey Hardin,F,23,domestic,1,Mechanical Eng,2.83,0
280,Renee Brown,F,17,domestic,0,Mathematics,2.2,78
281,Calvin Drake,F,21,domestic,1,Business Analytics,2.21,57
282,William Rodriguez,M,29,domestic,0,Finance,1.48,95
283,Robert Farmer,M,22,international,0,Sociology,2.33,101
284,Debra Sandoval,M,20,domestic,1,Biology,3.5,61
285,William Smith,F,23,domestic,0,Political Science,2.19,21
286,Cody Blankenship,M,24,domestic,1,Chemistry,2.24,0
287,Ernest Jones,M,20,domestic,1,Accounting,2.03,0
288,David Rodriguez,F,23,domestic,0,Biology,1.98,98
289,Carla Jones,M,20,domestic,0,Accounting,3.33,0
290,Amanda Garcia,F,24,domestic,1,Sociology,2.07,33
291,Jeffery Peterson,M,22,domestic,0,Finance,2.72,75
292,Holly Brooks,M,23,domestic,0,Accounting,2.59,13
293,Leah Roberts,F,19,domestic,0,Marketing,3.37,79
294,Timothy Byrd,M,19,domestic,0,Information Systems,2.3,37
295,Catherine Johnston,M,25,domestic,1,Information Systems,2.54,46
296,Jonathan Lopez,F,21,international,0,Mechanical Eng,2.14,30
297,Daniel Bryant,F,22,domestic,0,English,2.42,11
298,Timothy Long,M,20,domestic,0,Chemistry,2.26,60
299,James Johnson,F,25,domestic,0,Finance,2.71,56
300,Lisa Mcconnell,M,19,domestic,0,Sociology,3.76,61
301,Levi Francis,M,21,international,1,Nursing,2.68,69
302,Lisa Pugh,F,24,domestic,0,Political Science,3.5,26
303,Jonathan Williams,F,26,domestic,1,English,3.37,56
304,Alexander Lopez,F,20,international,1,Psychology,2.77,66
305,Lori Shelton,F,28,domestic,0,Information Systems,3.38,52
306,Bruce Hayes,Other,23,domestic,0,Computer Science,2.94,27
307,Jonathan Hayes,F,18,international,0,Finance,1.94,50
308,Austin Smith,M,23,domestic,0,Marketing,2.78,0
309,Danielle Morris,F,20,international,1,Economics,2.92,51
310,Sherry Morgan,M,23,domestic,1,Computer Science,3.86,6
311,Anthony Sullivan,M,21,international,0,Chemistry,2.24,40
312,Vincent Warner,M,22,domestic,0,English,3.07,27
313,Julie Stark,M,18,international,1,Mechanical Eng,2.06,41
314,Jacqueline Barker,Other,25,domestic,1,English,3.73,0
315,Christina Hopkins,F,17,domestic,0,Mathematics,3.53,61
316,Tammy Terrell,F,18,domestic,0,Chemistry,2.08,67
317,Daisy Garcia,M,23,domestic,0,Business Analytics,3.84,10
318,Jenny George,M,27,domestic,1,Political Science,3.45,0
319,Terrence Jenkins,M,20,domestic,0,Political Science,3.56,12
320,Regina Smith,M,24,domestic,0,English,3.74,62
321,Caitlyn Dawson,F,25,domestic,0,Computer Science,3.48,37
322,Heather Clark,F,24,domestic,0,Computer Science,2.6,33
323,Kelsey Mcdonald,F,20,international,0,Finance,3.7,35
324,Kyle Combs,M,18,domestic,1,Electrical Eng,2.26,19
325,Jillian Nunez,F,17,domestic,0,Finance,2.33,49
326,Heather Day,F,21,domestic,0,Psychology,2.53,85
327,Tyler Arnold,F,26,domestic,0,Electrical Eng,3.0,13
328,Maria Harris,F,18,domestic,0,Psychology,2.25,58
329,Angela Torres,M,24,domestic,0,Sociology,2.08,38
330,Melissa Williams,M,18,domestic,0,Computer Science,2.25,37
331,Shannon Mckinney,M,22,domestic,0,Mathematics,2.58,81
332,Thomas Perry,F,24,domestic,0,Computer Science,2.84,69
333,Cassandra Davis,M,19,domestic,0,Nursing,2.34,40
334,Sherry Lopez,M,22,domestic,0,Electrical Eng,2.07,67
335,Jesse Diaz,M,20,domestic,1,Political Science,3.03,0
336,Rebecca Allen,M,24,domestic,1,Mathematics,3.88,0
337,Jamie Aguirre,F,22,domestic,0,English,2.55,18
338,Michael Ray,F,22,domestic,0,Chemistry,3.34,9
339,Kevin Harding,M,27,domestic,1,Mathematics,2.8,32
340,Raymond Valencia,M,24,domestic,0,Biology,3.18,74
341,Jason Thomas,F,19,domestic,1,Mechanical Eng,3.29,33
342,Michael Patel,M,21,domestic,1,English,2.8,68
343,Justin Brown,M,21,domestic,0,Political Science,2.21,67
344,Erin Pham,M,22,domestic,0,Nursing,2.06,0
345,Russell Porter,M,30,international,1,Economics,3.49,61
346,Teresa King,F,23,domestic,0,Finance,3.18,75
347,Nicholas Quinn,F,17,domestic,0,Business Analytics,3.39,77
348,Kari Dillon,M,20,international,0,Computer Science,3.21,37
349,Dustin Adams,M,17,domestic,0,Electrical Eng,3.44,43
350,Michael Dillon,F,20,domestic,0,Psychology,2.93,45
351,Mary Taylor,F,17,domestic,1,Marketing,1.89,38
352,Kelsey Camacho,F,18,domestic,1,Economics,2.97,10
353,Donna Kerr,F,17,domestic,0,Finance,3.88,16
354,Michelle Charles,M,23,domestic,0,Finance,3.01,59
355,Linda Duncan,M,22,domestic,0,Finance,2.06,37
356,Ronald Black,F,23,domestic,0,Mechanical Eng,3.24,44
357,Keith Jones,M,21,domestic,0,Psychology,4.0,74
358,Sonya James,F,17,domestic,1,Electrical Eng,2.47,43
359,Ashley Smith,F,23,domestic,1,Psychology,3.0,7
360,Larry Lee,F,28,domestic,0,Business Analytics,3.09,107
361,Frances Leblanc,M,23,domestic,0,Mechanical Eng,2.92,32
362,Jeffrey Murphy,F,20,domestic,0,Political Science,3.28,30
363,Jacob Turner,M,17,international,0,Sociology,2.56,50
364,Adrian Jordan,F,18,domestic,0,Mathematics,3.18,37
365,Meghan Bates,F,23,domestic,0,Accounting,3.5,39
366,Melody Carlson,M,25,domestic,1,Political Science,2.66,24
367,Julie Williams,Other,22,domestic,0,Psychology,3.28,70
368,Ruth Jones,F,24,domestic,0,Business Analytics,2.57,75
369,Patricia Benitez,M,24,domestic,1,Mechanical Eng,1.97,96
370,Christopher Shaw,M,23,domestic,0,Accounting,1.97,100
371,James Charles,M,19,domestic,0,Mathematics,3.08,0
372,Richard Adams,M,22,international,0,Business Analytics,1.67,59
373,Hannah Hawkins,M,19,domestic,0,Psychology,2.86,6
374,Gregory Morgan,F,22,domestic,1,Electrical Eng,2.33,80
375,Megan Zimmerman,M,23,international,0,Psychology,1.48,51
376,Jared Gonzalez,M,27,domestic,1,Accounting,3.21,19
377,Eric Cross,F,17,domestic,0,Nursing,1.96,7
378,Vanessa Murphy,M,23,domestic,0,Accounting,4.0,22
379,Kaylee Perez,F,27,domestic,1,Mathematics,3.78,17
380,Jessica Ortega,M,24,domestic,0,Accounting,2.76,81
381,Nicole Miller,M,24,domestic,0,Psychology,1.59,43
382,Heather Peterson,F,24,domestic,0,Mechanical Eng,2.98,11
383,Tina Hall,F,26,domestic,0,Finance,3.9,54
384,Ryan Cowan,F,18,domestic,0,Mathematics,3.44,53
385,Savannah Holland,F,17,domestic,0,Sociology,3.48,37
386,Jessica Wilson,F,21,domestic,0,Electrical Eng,3.73,79
387,Katherine Hogan,M,17,domestic,0,Business Analytics,2.05,59
388,Timothy Wilson,M,26,international,1,Finance,3.45,57
389,Dawn Sullivan,F,26,domestic,0,Computer Science,3.96,0
390,Melvin Edwards,F,20,domestic,1,Computer Science,2.43,32
391,Kevin Lawrence,Other,20,domestic,0,Marketing,2.56,62
392,Anita Carpenter,M,21,domestic,0,English,3.73,54
393,Valerie Davis,M,22,domestic,1,Finance,3.64,45
394,Anthony Johnson,F,22,domestic,0,Nursing,2.28,63
395,Amanda Wolf,M,23,domestic,1,Mechanical Eng,2.02,56
396,Alexandra Dixon,F,21,domestic,0,Biology,2.73,67
397,Kaitlyn Wood,F,25,domestic,0,Mathematics,1.92,54
398,Tracy Clark,M,23,domestic,0,Psychology,2.28,65
399,Ashlee Salinas,F,19,domestic,0,Sociology,2.39,64
400,Sierra Carey,F,26,domestic,1,Political Science,3.47,42
401,Ashley Dean,M,17,domestic,0,Accounting,3.64,44
402,John Richardson,F,21,domestic,1,Political Science,3.48,47
403,Brian Richardson,F,25,domestic,1,Biology,2.31,8
404,Shawn Kelly,F,19,domestic,0,Computer Science,2.75,0
405,Benjamin Guzman,M,23,international,0,Mathematics,2.53,60
406,Mercedes Phillips,F,23,domestic,1,Finance,2.93,62
407,Jessica Collins,M,18,domestic,1,Information Systems,3.25,44
408,Seth Rivas,M,21,domestic,0,Biology,2.51,56
409,Cynthia Frank,F,21,domestic,0,Information Systems,2.19,65
410,Craig Evans,M,20,domestic,0,Business Analytics,3.74,58
411,David Leblanc,M,30,domestic,0,Nursing,3.44,62
412,Shannon Smith,F,19,domestic,0,Chemistry,3.0,6
413,Isabel Holmes,F,25,domestic,1,Mathematics,2.16,94
414,Tiffany Diaz,F,20,domestic,0,Mathematics,3.32,55
415,Patrick Arroyo,F,18,international,0,Accounting,2.7,73
416,Richard Williams,M,22,domestic,0,Biology,1.47,63
417,Sheri Trujillo,M,24,domestic,0,Computer Science,2.48,14
418,Claudia Vaughn,M,25,domestic,0,Chemistry,3.08,24
419,Edward Mcdonald,F,27,domestic,0,Sociology,2.67,29
420,Kathy Herrera,F,32,domestic,0,Political Science,3.11,79
421,Brandon Hansen,F,22,domestic,0,Accounting,3.08,16
422,John Holmes,F,19,domestic,0,Chemistry,2.14,7
423,Sara Lucas,M,23,domestic,1,Marketing,3.21,58
424,Valerie Richardson,F,21,domestic,0,Economics,3.27,98
425,Bradley Romero,M,25,domestic,0,Chemistry,2.78,20
426,Michael Brown,F,17,domestic,0,Computer Science,2.81,88
427,Lisa Wright,M,30,domestic,1,Accounting,2.81,67
428,Angela Ward,F,24,domestic,0,English,3.71,32
429,Travis Owens,M,17,domestic,0,Nursing,3.03,5
430,Nathan Jarvis,M,19,domestic,1,Mechanical Eng,2.87,35
431,Randy Young,M,24,domestic,0,Psychology,3.08,21
432,Natalie Copeland,F,26,domestic,0,Computer Science,3.07,81
433,Dylan Ramirez,F,17,domestic,0,Mechanical Eng,2.74,44
434,Jason Cummings,M,24,domestic,0,Finance,2.0,59
435,Angela Ramsey,M,17,international,0,Mechanical Eng,2.87,60
436,Kevin Green,F,21,domestic,1,Computer Science,3.15,26
437,Zachary Ortega,M,25,domestic,0,Computer Science,2.97,47
438,Bryan Kennedy,F,20,domestic,1,Business Analytics,2.5,75
439,Elizabeth Hill,F,17,domestic,0,Mechanical Eng,2.68,43
440,Kathleen Russo,M,22,domestic,1,Electrical Eng,3.4,37
